Categories,Lecture,Load,Grade
2011 Fall,4.6054639377370075,2.6798604786113356,3.193587304426748
2012 Spring,4.605463942891673,2.6798604786108102,3.193587304426748
2012 Fall,3.027319714458363,-46.600657115186365,-24.032063474609817
2013 Spring,4.605463942891673,2.6798604786113356,3.193587304426748
2013 Fall,4.605463942891673,-17.317502451266588,3.193587304426748
2015 Spring,4.605463592460487,2.6798604786113356,3.193587304426748
2015 Fall,23.01965033063037,-6.600045858735143,15.96793652213374
2016 Spring,-17.560292896191214,5.359720950478389,6.38638944135943
2016 Fall,-3.286614280694364,-16.60069764545774,-14.014382983773771
2017 Spring,23.027311724302116,13.39930239305622,15.96793652213374
2017 Fall,3.027319643299615,-16.60069774780106,5.967936522133741
2018 Spring,-2.4786173759141086,16.07916287166801,19.161523826494108
2018 Fall,-5.394536057108327,-7.320139521388665,-6.806412695573252
