Categories,Lecture,Load,Grade
2012 Spring,1.8807649549631078,-8.957195337594765,-4.121578082720113
2012 Fall,12.59495983394723,-9.2819781090058,-17.72827128424298
2013 Spring,10.614273108500171,-7.499904727569133,1.0263083079608304
2013 Fall,3.819398713972733,6.254433804892544,7.499840953501835
2014 Spring,-4.489014092434387,-6.048390147753314,0.0
2014 Fall,8.004990217606297,-10.152633151591834,0.0
2015 Spring,3.9506147558259403,-8.941187021626574,0.0
2015 Fall,-6.640367702678489,0.0,-7.1003710077251805
2016 Spring,15.173630280238243,-19.1861123191727,4.44432080919473
2016 Fall,3.2875310382927876,7.19328466647155,-0.38431851859425414
2017 Spring,20.841886537634245,-39.25088035910049,-15.053654138650334
2017 Fall,44.292685008592606,12.039791644157681,7.802477140862861
2018 Spring,1.5272223630002593,-23.662795134830734,-18.036627619209014
